"text","givenName","gender","correct_logical","correct_gender","genderIndicators"
"Aaltonen, Markus Sakari","markus","male",1,"male",2
"Stubb, Cai-Göran Alexander","alexander","male",1,"male",3
"Ahde, Matti Allan","allan","male",1,"male",3
"Saarakkala, Vesa-Matti","matti","male",1,"male",2
"Aho, Esko Tapani","esko","male",1,"male",3
"Piirainen, Raimo Olavi","raimo","male",1,"male",2
"Jääskeläinen, Pietari Osmo","osmo","male",1,"male",1
"Juurikkala, Timo Johannes","timo","male",1,"male",2
"Jokinen, Kalle Johannes","johannes","male",1,"male",2
"Aho, Raila Orvokki","aho","male",1,"male",2
"Ahonen, Risto Sakari","risto","male",1,"male",2
"Aittoniemi, Sulo Eerikki","sulo","male",1,"male",1
"Ahvenjärvi, Sauli Sakari","sakari","male",1,"male",2
"Mäkisalo-Ropponen, Merja Elina","merja","female",1,"female",2
"Mäntylä, Hanna Katariina","hanna","female",1,"female",2
"Autto, Heikki Samuli","heikki","male",1,"male",2
"Ajo, Aimo Olavi","ajo","male",1,"male",2
"Mäntymaa, Markku Antero","markku","male",1,"male",2
"Mölsä, Martti Kullervo","martti","male",1,"male",1
"Niikko, Mika Ilari","mika","male",1,"male",2
"Eerola, Juho Seppo Antero","juho","male",1,"male",3
"Eestilä, Markku Yrjö","markku","male",1,"male",1
"Packalén, Tom Erik","tom","male",1,"male",2
"Elomaa, Ritva Tuulikki","ritva","female",1,"female",2
"Pekonen, Aino-Kaisa Ilona","ilona","female",1,"female",3
"Pelkonen, Jaana Maarit","jaana","female",1,"female",2
"Eloranta, Eeva-Johanna","johanna","female",1,"female",2
"Donner, Jörn Johan","johan","male",1,"male",2
"Grahn-Laasonen, Sanni Kaisa","kaisa","female",1,"female",2
"Pirttilahti, Arto Väinö Uolevi","arto","male",1,"male",3
"Salonen, Kristiina Johanna","johanna","female",1,"female",2
"Gästgivars, Lars Erik","erik","male",1,"male",2
"Haapanen, Satu Maria Kristiina","maria","female",1,"female",3
"Sankelo, Janne Daniel","daniel","male",1,"male",2
"Savola, Mikko Tapio","mikko","male",1,"male",2
"Hakkarainen, Teuvo Mauno Kalervo","mauno","male",1,"male",2
"Sipilä, Juha Petri","petri","male",1,"male",2
"Halla-aho, Jussi Kristian","kristian","male",1,"male",4
"Dromberg, Ritva Kaarina","ritva","female",1,"female",2
"Soukola, Ismo Olavi","ismo","male",1,"male",2
"Suutari, Eero Johannes","johannes","male",1,"male",2
"Tainio, Hanna Maria","maria","female",1,"female",2
"Tiainen, Eila Kyllikki","eila","female",1,"female",1
"Toivola, Jani Petteri","jani","female",0,"male",2
"Heikkilä, Lauri Juho Antti","lauri","female",0,"male",3
"Tolppanen, Eeva Maria","maria","female",1,"female",2
"Hirvisaari, James","james","male",1,"male",1
"Tolvanen, Kari","kari","female",0,"male",1
"Hongisto, Reijo Henrik","henrik","male",1,"male",2
"Alho, Arja Inkeri","arja","female",1,"female",2
"Torniainen, Ari Juhani","ari","male",1,"male",2
"Ihalainen, Lauri Armas","lauri","female",0,"male",1
"Immonen, Olli Juhani","olli","male",1,"male",2
"Tossavainen, Reijo Sylvester","sylvester","male",1,"male",2
"Jalonen, Ari Kristian","kristian","male",1,"male",2
"Jungner, Juhani Mikael","mikael","male",1,"male",2
"Tuppurainen, Tytti Johanna","johanna","female",1,"female",2
"Jurva, Johanna Maria-Kaarina","maria","female",1,"female",3
"Turunen, Kaj Valentin","valentin","male",1,"male",2
"Juvonen, Arja Sinikka","sinikka","female",1,"female",2
"Elo, Mikko Juhani","mikko","male",1,"male",3
"Tuupainen, Kauko Ilmari","kauko","male",1,"male",2
"Wallinheimo, Mika Sinuhe","mika","male",1,"male",2
"Kalliorinne, Risto Olavi","risto","male",1,"male",2
"Kari, Mika Pekka","kari","female",0,"male",3
"Vikman, Maria Sofia Charlotta","maria","female",1,"female",3
"Kauma, Pia Liisa","pia","female",1,"female",3
"Vähämäki, Ville Petteri","ville","male",1,"male",2
"Kiuru, Pauli Antero","pauli","female",0,"male",2
"Kivelä, Kimmo Kyösti Väinämö","kimmo","male",1,"male",2
"Väätäinen, Toivo Juha","juha","male",1,"male",2
"Ala-Harja, Kirsti Raili","raili","female",1,"female",3
"Kokko, Osmo Urmas","urmas","male",1,"male",3
"Östman, Peter Johan","peter","male",1,"male",2
"Kopra, Jukka Matti","jukka","male",1,"male",2
"Koskela, Laila Margit","laila","female",1,"female",2
"Kymäläinen, Suna Ellen","ellen","female",1,"female",2
"Kärnä, Jukka Ensio","jukka","male",1,"male",2
"Lindström, Jari Tapani","jari","male",1,"male",2
"Lindtman, Antti Ilmari","antti","male",1,"male",2
"Lohela, Maria Tuulia","maria","female",1,"female",1
"Lohi, Markus Samuli","markus","male",1,"male",2
"Ala-Kapee-Hakulinen (e. Ala-Kapee), Pirjo Anneli","pirjo","female",1,"female",3
"Louhelainen, Anne Maarit","anne","female",1,"female",2
"Maijala, 6.7.2012 Eeva-Maria Kustaava","maria","female",1,"female",2
"Mattila, Pirkko Anneli","anneli","female",1,"female",2
"Modig, Anna Silvia","anna","female",1,"female",2
"Myllykoski, Jari Heikki","myllykoski","male",1,"male",3
"Kontula, Anna Liisa","anna","female",1,"female",2
"Männistö, Lasse Pekka","lasse","male",1,"male",2
"Saarikko, Annika Virpi Irene","irene","female",1,"female",3
"Fred (e. Pohjola), Jorma Lemmitty","fred","male",1,"male",2
"Gustafsson, Jukka Tapani","jukka","male",1,"male",2
"Alaranta, Heikki Juhani","heikki","male",1,"male",2
"Haavisto, Pekka Olavi","pekka","male",1,"male",2
"Hacklin, Pirkko Iiris Annikki","pirkko","female",1,"female",3
"Almgren, Esko Kalevi","esko","male",1,"male",2
"Andersson, Claes-Johan Rudolf (Claes)","johan","male",1,"male",4
"Urpalainen, Anu Johanna","johanna","female",1,"female",2
"Halonen, Tarja Kaarina","tarja","female",1,"female",2
"Hautala, Sauli Tuomas","tuomas","male",1,"male",2
"Heikkinen, Kauko Antero","antero","male",1,"male",2
"Helle, Esko Antero","helle","female",0,"male",3
"Hetemäki-Olander (e. Rinne, e. Hetemäki), Elsi Maria","maria","female",1,"female",2
"Raatikainen, Mika Pekka","mika","male",1,"male",2
"Hänninen, Katja Maria","maria","female",1,"female",2
"Palola, Ari Juhana Mikael","mikael","male",1,"male",3
"Lepomäki, Elina Maria","maria","female",1,"female",2
"Anttila, Sirkka-Liisa","liisa","female",1,"female",2
"Hietala, Pertti Vilho Antero","antero","male",1,"male",3
"Antvuori, Pirjo-Riitta","pirjo","female",1,"female",2
"Apukka, Asko Asser","asko","male",1,"male",1
"Astala, Heli Hellevi","heli","female",1,"female",2
"Hilpelä, Liisa Sisko","liisa","female",1,"female",2
"Backman, Jouni Ensio","jouni","male",1,"male",1
"Hokkanen, Matti Heikki Johannes","johannes","male",1,"male",3
"Holvitie, Tapio Johannes","johannes","male",1,"male",2
