"name","gender","correct_gender","probability","count"
"aapo","male","male",1,3
"aarne","male","male",1,1
"aas","female","surname",0.75,4
"ahde","female","surname",1,2
"aho","male","male",1,1
"ahti","male","male",1,1
"aila","female","female",1,9
"aili","female","female",0.8,5
"aino","female","female",1,15
"ajo","male","surname",0.75,4
"aksel","male","male",1,12
"ala","female","surname",0.52,23
"aleksander","male","male",1,47
"aleksandra","female","female",0.98,174
"aleksanteri","male","male",1,1
"alexander","male","male",1,2922
"allan","male","male",1,978
"alli","female","female",0.97,70
"alvar","male","male",1,3
"anders","male","male",1,279
"andersson","male","surname",1,2
"andreas","male","male",1,1825
"anita","female","female",1,2800
"anja","female","female",1,266
"anna","female","female",1,9945
"anne","female","female",0.83,3696
"anneli","female","female",1,33
"anni","female","female",1,703
"annika","female","female",1,736
"annikki","female","female",1,2
"anri","female","female",1,2
"anssi","male","male",1,5
"antero","male","male",1,8
"anton","male","male",1,890
"antti","male","male",1,58
"anu","female","female",0.89,111
"ari","male","male",0.7,219
"arja","female","female",1,6
"armelle","female","female",1,648
"armo","male","male",1,1
"arto","male","male",1,641
"arvo","male","male",1,1
"asko","male","male",1,2
"aslak","male","male",1,1
"assar","female","male",1,1
"astrid","female","female",1,204
"aukusti","male","male",1,1
"aula","female","female",1,2
"aulis","female","male",0.5,2
"aune","female","female",1,1
"aura","female","female",0.97,65
"bell","female","surname",0.83,24
"ben","male","male",1,9568
"bengt","male","male",1,19
"berl","female","surname",1,1
"bertel","male","male",1,1
"bertil","male","male",1,7
"birgitta","female","female",1,659
"bjarne","male","male",1,27
"boris","male","male",1,215
"bror","male","male",1,1
"cai","male","male",0.65,17
"cecilia","female","female",1,1976
"charlotta","female","female",1,17
"charlotte","female","female",1,6656
"christian","male","male",0.74,4795
"christina","female","female",1,3058
"christoffer","male","male",1,63
"claes","male","male",0.93,14
"daniel","male","male",1,16653
"edvard","male","male",1,8
"eeli","female","male",1,1
"eemeli","male","male",1,2
"eerik","male","male",1,3
"eero","male","male",1,13
"eeva","female","female",1,14
"eija","female","female",0.94,17
"eila","female","female",1,10
"einar","male","male",1,18
"eino","female","male",0.5,2
"elina","female","female",1,105
"elisabet","female","female",1,37
"elisabeth","female","female",1,364
"elise","female","female",1,1528
"ellen","female","female",1,608
"elly","female","female",0.89,76
"elo","female","surname",0.85,39
"elsa","female","female",1,1474
"elsi","female","female",0.83,6
"emanuel","male","male",1,764
"emil","male","male",0.95,170
"emilia","female","female",0.99,182
"erik","male","male",0.99,1308
"erja","female","female",1,5
"erkki","male","male",1,13
"esa","male","male",0.71,17
"esko","male","male",1,11
"eva","female","female",1,3590
"evald","male","male",1,1
"evert","male","male",1,12
"frans","male","male",0.94,54
"fred","male","male",0.99,1216
"frey","male","male",1,4
"friberg","male","surname",1,1
"gunilla","female","female",1,649
"gunnar","male","male",1,676
"gustav","male","male",0.95,37
"göran","male","male",1,140
"halla","female","surname",0.75,4
"hanna","female","female",0.97,288
"hannele","female","female",1,12
"hannes","male","male",0.95,44
"hannu","male","male",1,22
"harri","male","male",0.85,27
"harry","male","male",1,2385
"hassi","male","surname",1,1
"heidi","female","female",1,2003
"heikki","male","male",1,36
"heino","male","male",1,2
"helena","female","female",1,2264
"helene","female","female",1,2894
"helge","male","male",0.94,17
"heli","female","female",0.88,42
"helle","female","surname",1,707
"hellevi","female","female",1,1
"helmi","male","male",0.88,16
"helvi","female","female",1,2
"henna","female","female",1,29
"henrik","male","male",1,841
"herman","male","male",1,722
"hermanni","male","male",1,2
"hildegard","female","surname",0.5,2
"hjalmar","male","male",1,7
"håkan","male","male",1,1187
"iiris","female","female",1,2
"iiro","male","male",1,5
"ilari","male","male",0.83,6
"ilkka","male","male",1,13
"ilmari","male","male",1,1
"ilmi","female","female",0.5,2
"ilona","female","female",1,1333
"ilpo","male","male",1,3
"immanuel","male","male",1,638
"ingemar","male","male",1,3
"inger","female","female",1,64
"inkeri","female","female",1,2
"irene","female","female",1,3939
"irina","female","female",1,842
"irja","female","female",1,5
"irma","female","female",1,818
"irmeli","female","female",1,2
"ismo","male","male",1,7
"itälä","female","surname",1,1
"jaakko","male","male",1,14
"jaana","female","female",1,47
"jacob","male","male",1,2715
"james","male","male",1,12541
"jan","male","male",0.58,5499
"jani","female","male",0.92,697
"janina","female","female",1,50
"janne","female","male",0.9,733
"jari","male","male",1,52
"jarl","male","male",1,4
"jarmo","male","male",1,15
"jere","male","male",1,30
"joel","male","male",1,2163
"johan","male","male",1,1745
"johanna","female","female",1,1214
"johannes","male","male",1,142
"jorma","male","male",1,5
"jouko","male","male",1,6
"jouni","male","male",1,16
"juha","male","male",1,54
"juhana","male","male",1,2
"juhani","male","male",1,9
"juho","male","male",1,21
"jukka","male","male",1,670
"jussi","male","male",0.97,38
"jutta","female","female",1,35
"jyri","male","male",1,7
"jyrki","male","male",1,7
"jörn","male","male",1,23
"kaarin","female","female",1,1
"kaarina","female","female",1,3
"kaarlo","male","male",1,2
"kai","male","male",0.81,143
"kaija","female","female",1,7
"kaisa","female","female",1,28
"kaj","male","male",1,21
"kalevi","male","male",1,3
"kalle","male","male",0.92,38
"kalli","female","surname",1,11
"kallio","female","surname",1,2
"kari","female","male",0.97,942
"karl","male","male",1,1047
"karoliina","female","female",1,18
"katariina","female","female",1,7
"katarina","female","female",1,1443
"kati","female","female",0.98,84
"katja","female","female",1,160
"katri","female","female",0.95,20
"katriina","female","female",1,4
"kauko","male","male",1,2
"kauma","male","surname",1,1
"keijo","male","male",1,10
"kerttu","female","female",1,4
"kimmo","male","male",1,16
"kirsi","female","female",1,673
"kirsikka","female","female",1,1
"kirsti","female","female",1,25
"klaus","male","male",0.98,109
"kokko","male","surname",1,1
"krista","female","female",1,1540
"kristian","male","male",0.99,1461
"kristiina","female","female",1,15
"kristina","female","female",1,1869
"kyösti","male","male",1,2
"kärnä","female","surname",1,3
"laila","female","female",0.99,160
"laine","female","female",0.57,14
"lars","male","male",1,904
"lasse","male","male",1,101
"laukkanen","male","surname",1,1
"lauri","female","male",0.66,73
"lax","male","male",1,1
"lea","female","female",0.99,1573
"leea","female","female",1,6
"leena","female","female",0.97,58
"lehtinen","female","surname",1,1
"leila","female","female",1,224
"lenita","female","female",1,8
"leo","male","male",0.85,4329
"liisa","female","female",1,642
"lindén","male","male",0.75,12
"linna","female","surname",1,8
"lis","female","female",1,58
"lópez","male","surname",0.64,11
"ludvig","male","male",1,7
"lyly","female","surname",1,14
"maaret","female","female",1,3
"maaria","female","female",1,3
"maarit","female","female",1,26
"magnus","male","male",1,142
"maija","female","female",1,25
"mailis","female","female",1,3
"maire","female","female",1,14
"maj","female","female",0.78,9
"maja","female","female",1,859
"margareta","female","female",1,23
"margit","female","female",1,30
"mari","female","female",0.99,1014
"maria","female","female",1,21348
"marie","female","female",1,3996
"marita","female","female",1,721
"marja","female","female",0.97,38
"marjaana","female","female",1,4
"marjatta","female","female",1,3
"marjo","female","female",0.95,41
"marjukka","female","female",1,3
"marjut","female","female",1,9
"markku","male","male",1,20
"marko","male","male",0.99,297
"markus","male","male",0.99,280
"martin","male","male",1,9138
"martti","male","male",1,3
"marushka","female","female",1,1
"matias","male","male",1,4227
"matilda","female","female",1,61
"mats","male","male",1,83
"matti","male","male",0.95,63
"mattias","male","male",1,69
"mauno","male","male",1,3
"mauri","male","male",0.99,654
"merja","female","female",1,645
"miettinen","male","surname",1,1
"mika","male","male",0.61,122
"mikael","male","male",1,1434
"mikaela","female","female",1,698
"mikko","male","male",1,87
"milja","female","female",1,4
"minna","female","female",0.99,87
"miriam","female","female",1,1223
"mirja","female","female",1,21
"mirjam","female","female",1,1908
"mirjami","female","female",1,3
"morri","male","surname",1,1
"myllykoski","male","surname",1,624
"mäki","female","surname",0.77,26
"märta","female","female",1,4755
"niilo","male","male",1,1
"nils","male","male",0.99,89
"nurmi","female","surname",0.5,2
"ola","female","male",0.63,130
"olav","male","male",1,25
"olavi","male","male",1,3
"ole","male","male",0.98,108
"olin","male","male",1,1
"olli","male","male",0.96,27
"onerva","female","female",1,1
"onni","male","male",1,2
"orvokki","female","female",1,1
"oskari","male","male",1,5
"osmo","male","male",1,1
"ossi","male","male",1,6
"otto","male","male",1,696
"outi","female","female",1,24
"paavo","male","male",1,4
"palm","female","surname",0.71,7
"pasi","male","male",1,25
"paula","female","female",1,8981
"pauli","female","male",0.67,27
"pauliina","female","female",1,639
"pehr","male","male",1,2
"pekka","male","male",1,28
"pentti","male","male",1,10
"per","male","male",0.98,163
"pertti","male","male",1,8
"peter","male","male",1,8471
"petri","male","male",1,674
"petter","male","male",1,669
"petteri","male","male",1,9
"pia","female","female",1,847
"pirjo","female","female",1,643
"pirkko","female","female",1,8
"pura","female","surname",1,4
"päivi","female","female",1,54
"päivikki","female","female",1,1
"pär","male","male",0.67,18
"raija","female","female",1,9
"raili","female","female",1,629
"raimo","male","male",1,7
"rainer","male","male",0.98,52
"rakel","female","female",1,24
"ralf","male","male",1,64
"ratu","female","surname",1,11
"raul","male","male",1,3171
"rauno","male","male",1,5
"ravi","male","surname",1,222
"reijo","male","male",1,1
"reino","male","male",1,4
"richard","male","male",1,10207
"riikka","female","female",1,30
"riitta","female","female",1,22
"rimmi","male","surname",1,1
"risto","male","male",1,19
"rita","female","female",1,1381
"ritva","female","female",1,9
"robert","male","male",1,12076
"roger","male","male",1,3505
"rolf","male","male",1,694
"roos","female","surname",1,13
"rosa","female","female",1,3349
"rose","female","female",1,3063
"rossi","male","surname",0.63,30
"rudolf","male","male",0.95,42
"rönni","male","surname",0.6,20
"saara","female","female",1,27
"saimi","female","female",1,1
"sakari","male","male",1,5
"sakarias","male","male",1,1
"salme","female","female",1,1
"salmi","male","surname",0.6,5
"salo","female","surname",0.5,6
"sami","male","male",0.57,1590
"sampsa","male","male",1,2
"samuli","male","male",1,18
"sanna","female","female",1,95
"sanni","female","female",0.8,15
"sari","female","female",0.95,131
"sasi","male","surname",0.54,13
"satu","female","female",0.91,43
"sauli","male","male",1,1
"seppo","male","male",1,8
"silvia","female","female",1,5636
"simo","male","male",0.88,83
"sini","female","female",1,22
"sinikka","female","female",1,9
"sinuhe","male","male",1,4
"sirén","female","surname",1,3
"sirkka","female","female",1,5
"sirpa","female","female",1,10
"sisko","male","female",1,3
"sofia","female","female",1,4443
"stefan","male","male",1,1825
"sten","male","male",1,17
"sulo","male","male",1,3
"suna","female","female",0.96,27
"susanna","female","female",1,774
"suvi","female","female",0.95,22
"sven","male","male",1,770
"sylvester","male","male",0.96,28
"säde","female","female",1,23
"taimi","female","female",0.75,4
"taina","female","female",1,21
"taneli","male","male",1,6
"tanja","female","female",0.99,253
"tapani","male","male",1,2
"tapio","male","male",1,15
"tarja","female","female",1,24
"tarmo","male","male",1,4
"taru","female","female",1,631
"tauno","male","male",1,1
"terhi","female","female",1,11
"tero","male","male",1,648
"terttu","female","female",1,2
"teuvo","male","male",1,1
"thomas","male","male",1,13071
"tikka","female","surname",0.5,2
"timo","male","male",1,721
"tina","female","female",1,4589
"toivo","male","male",1,4
"tom","male","male",1,4854
"tommy","male","male",0.99,1233
"tony","male","male",0.9,6194
"topi","male","male",1,8
"touko","male","male",1,3
"tuija","female","female",1,14
"tuomas","male","male",1,25
"tuomo","male","male",1,637
"tuula","female","female",1,19
"tuulikki","female","female",1,3
"tytti","female","female",1,7
"tölli","male","surname",1,1
"ulf","male","male",1,33
"ulla","female","female",1,699
"unto","male","male",1,1
"uolevi","male","male",1,1
"urmas","male","male",1,3
"valentin","male","male",1,1453
"valli","female","surname",0.75,8
"valo","female","female",0.5,2
"valter","male","male",1,661
"vappu","female","female",1,1
"veijo","male","male",1,5
"veikko","male","male",1,3
"veli","male","male",1,40
"venneri","male","male",1,1
"verneri","male","male",1,1
"vesa","male","male",0.9,20
"viktor","male","male",1,757
"vilhelm","male","male",0.67,3
"wilhelm","male","male",1,12
"vilho","male","male",1,2
"viljamaa","male","male",1,1
"viljami","female","male",1,1
"viljo","male","male",1,1
"ville","male","male",0.99,67
"virén","male","male",1,3
"virpi","female","female",1,16
"von","male","surname",0.71,21
"vuokko","female","female",1,2
"väinö","male","male",1,1
